Sector of Institution,Reporting Location,Offense,Date,Count
"Private for-profit, 2-year",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2015,1
"Public, less-than 2-year",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2015,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2015,0
"Public, 4-year or above",Non-Campus,Arrest - Illegal Weapon Possesions,sum2013,73
"Private nonprofit, 4-year or above",Non-Campus,Arrest - Illegal Weapon Possesions,sum2013,8
"Private for-profit, 4-year or above",Non-Campus,Arrest - Illegal Weapon Possesions,sum2013,5
"Public, 2-year",Non-Campus,Arrest - Illegal Weapon Possesions,sum2013,47
"Private nonprofit, 2-year",Non-Campus,Arrest - Illegal Weapon Possesions,sum2013,0
"Private for-profit, 2-year",Non-Campus,Arrest - Illegal Weapon Possesions,sum2013,1
"Public, less-than 2-year",Non-Campus,Arrest - Illegal Weapon Possesions,sum2013,0
"Private nonprofit, less-than 2-year",Non-Campus,Arrest - Illegal Weapon Possesions,sum2013,0
"Private for-profit, less-than 2-year",Non-Campus,Arrest - Illegal Weapon Possesions,sum2013,2
"Public, 4-year or above",Non-Campus,Arrest - Illegal Weapon Possesions,sum2014,69
"Private nonprofit, 4-year or above",Non-Campus,Arrest - Illegal Weapon Possesions,sum2014,31
"Private for-profit, 4-year or above",Non-Campus,Arrest - Illegal Weapon Possesions,sum2014,15
"Public, 2-year",Non-Campus,Arrest - Illegal Weapon Possesions,sum2014,46
"Private nonprofit, 2-year",Non-Campus,Arrest - Illegal Weapon Possesions,sum2014,0
"Private for-profit, 2-year",Non-Campus,Arrest - Illegal Weapon Possesions,sum2014,0
"Public, less-than 2-year",Non-Campus,Arrest - Illegal Weapon Possesions,sum2014,0
"Private nonprofit, less-than 2-year",Non-Campus,Arrest - Illegal Weapon Possesions,sum2014,0
"Private for-profit, less-than 2-year",Non-Campus,Arrest - Illegal Weapon Possesions,sum2014,0
"Public, 4-year or above",Non-Campus,Arrest - Illegal Weapon Possesions,sum2015,50
"Private nonprofit, 4-year or above",Non-Campus,Arrest - Illegal Weapon Possesions,sum2015,33
"Private for-profit, 4-year or above",Non-Campus,Arrest - Illegal Weapon Possesions,sum2015,6
"Public, 2-year",Non-Campus,Arrest - Illegal Weapon Possesions,sum2015,44
"Private nonprofit, 2-year",Non-Campus,Arrest - Illegal Weapon Possesions,sum2015,0
"Private for-profit, 2-year",Non-Campus,Arrest - Illegal Weapon Possesions,sum2015,0
"Public, less-than 2-year",Non-Campus,Arrest - Illegal Weapon Possesions,sum2015,0
"Private nonprofit, less-than 2-year",Non-Campus,Arrest - Illegal Weapon Possesions,sum2015,2
"Private for-profit, less-than 2-year",Non-Campus,Arrest - Illegal Weapon Possesions,sum2015,1
"Public, 4-year or above",Public Property,Arrest - Illegal Weapon Possesions,sum2013,297
"Private nonprofit, 4-year or above",Public Property,Arrest - Illegal Weapon Possesions,sum2013,89
"Private for-profit, 4-year or above",Public Property,Arrest - Illegal Weapon Possesions,sum2013,21
"Public, 2-year",Public Property,Arrest - Illegal Weapon Possesions,sum2013,79
"Private nonprofit, 2-year",Public Property,Arrest - Illegal Weapon Possesions,sum2013,2
"Private for-profit, 2-year",Public Property,Arrest - Illegal Weapon Possesions,sum2013,38
"Public, less-than 2-year",Public Property,Arrest - Illegal Weapon Possesions,sum2013,25
"Private nonprofit, less-than 2-year",Public Property,Arrest - Illegal Weapon Possesions,sum2013,2
"Private for-profit, less-than 2-year",Public Property,Arrest - Illegal Weapon Possesions,sum2013,35
"Public, 4-year or above",Public Property,Arrest - Illegal Weapon Possesions,sum2014,275
"Private nonprofit, 4-year or above",Public Property,Arrest - Illegal Weapon Possesions,sum2014,158
"Private for-profit, 4-year or above",Public Property,Arrest - Illegal Weapon Possesions,sum2014,7
"Public, 2-year",Public Property,Arrest - Illegal Weapon Possesions,sum2014,59
"Private nonprofit, 2-year",Public Property,Arrest - Illegal Weapon Possesions,sum2014,7
"Private for-profit, 2-year",Public Property,Arrest - Illegal Weapon Possesions,sum2014,61
"Public, less-than 2-year",Public Property,Arrest - Illegal Weapon Possesions,sum2014,20
"Private nonprofit, less-than 2-year",Public Property,Arrest - Illegal Weapon Possesions,sum2014,0
"Private for-profit, less-than 2-year",Public Property,Arrest - Illegal Weapon Possesions,sum2014,24
"Public, 4-year or above",Public Property,Arrest - Illegal Weapon Possesions,sum2015,307
"Private nonprofit, 4-year or above",Public Property,Arrest - Illegal Weapon Possesions,sum2015,163
"Private for-profit, 4-year or above",Public Property,Arrest - Illegal Weapon Possesions,sum2015,78
"Public, 2-year",Public Property,Arrest - Illegal Weapon Possesions,sum2015,92
"Private nonprofit, 2-year",Public Property,Arrest - Illegal Weapon Possesions,sum2015,4
"Private for-profit, 2-year",Public Property,Arrest - Illegal Weapon Possesions,sum2015,20
"Public, less-than 2-year",Public Property,Arrest - Illegal Weapon Possesions,sum2015,3
"Private nonprofit, less-than 2-year",Public Property,Arrest - Illegal Weapon Possesions,sum2015,2
"Private for-profit, less-than 2-year",Public Property,Arrest - Illegal Weapon Possesions,sum2015,24
"Public, 4-year or above",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2013,7179
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2013,1113
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2013,25
"Public, 2-year",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2013,1153
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2013,42
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2013,37
"Public, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2013,139
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2013,1
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2013,25
"Public, 4-year or above",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2014,6769
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2014,985
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2014,26
"Public, 2-year",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2014,1306
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2014,45
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2014,38
"Public, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2014,152
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2014,1
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2014,13
"Public, 4-year or above",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2015,7288
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2015,1118
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2015,61
"Public, 2-year",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2015,1130
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2015,49
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2015,20
"Public, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2015,161
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2015,1
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Drug Arrests,sum2015,12
"Public, 4-year or above",On Campus (Residence Halls),Arrest - Drug Arrests,sum2013,8405
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Arrest - Drug Arrests,sum2013,1646
"Private for-profit, 4-year or above",On Campus (Residence Halls),Arrest - Drug Arrests,sum2013,25
"Public, 2-year",On Campus (Residence Halls),Arrest - Drug Arrests,sum2013,476
"Private nonprofit, 2-year",On Campus (Residence Halls),Arrest - Drug Arrests,sum2013,37
"Private for-profit, 2-year",On Campus (Residence Halls),Arrest - Drug Arrests,sum2013,4
"Public, less-than 2-year",On Campus (Residence Halls),Arrest - Drug Arrests,sum2013,3
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Arrest - Drug Arrests,sum2013,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Arrest - Drug Arrests,sum2013,2
"Public, 4-year or above",On Campus (Residence Halls),Arrest - Drug Arrests,sum2014,8419
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Arrest - Drug Arrests,sum2014,1481
"Private for-profit, 4-year or above",On Campus (Residence Halls),Arrest - Drug Arrests,sum2014,43
"Public, 2-year",On Campus (Residence Halls),Arrest - Drug Arrests,sum2014,436
"Private nonprofit, 2-year",On Campus (Residence Halls),Arrest - Drug Arrests,sum2014,22
"Private for-profit, 2-year",On Campus (Residence Halls),Arrest - Drug Arrests,sum2014,2
"Public, less-than 2-year",On Campus (Residence Halls),Arrest - Drug Arrests,sum2014,2
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Arrest - Drug Arrests,sum2014,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Arrest - Drug Arrests,sum2014,2
"Public, 4-year or above",On Campus (Residence Halls),Arrest - Drug Arrests,sum2015,8205
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Arrest - Drug Arrests,sum2015,1322
"Private for-profit, 4-year or above",On Campus (Residence Halls),Arrest - Drug Arrests,sum2015,34
"Public, 2-year",On Campus (Residence Halls),Arrest - Drug Arrests,sum2015,439
"Private nonprofit, 2-year",On Campus (Residence Halls),Arrest - Drug Arrests,sum2015,10
"Private for-profit, 2-year",On Campus (Residence Halls),Arrest - Drug Arrests,sum2015,9
"Public, less-than 2-year",On Campus (Residence Halls),Arrest - Drug Arrests,sum2015,5
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Arrest - Drug Arrests,sum2015,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Arrest - Drug Arrests,sum2015,1
"Public, 4-year or above",Non-Campus,Arrest - Drug Arrests,sum2013,768
"Private nonprofit, 4-year or above",Non-Campus,Arrest - Drug Arrests,sum2013,200
"Private for-profit, 4-year or above",Non-Campus,Arrest - Drug Arrests,sum2013,23
"Public, 2-year",Non-Campus,Arrest - Drug Arrests,sum2013,350
"Private nonprofit, 2-year",Non-Campus,Arrest - Drug Arrests,sum2013,54
"Private for-profit, 2-year",Non-Campus,Arrest - Drug Arrests,sum2013,0
"Public, less-than 2-year",Non-Campus,Arrest - Drug Arrests,sum2013,0
"Private nonprofit, less-than 2-year",Non-Campus,Arrest - Drug Arrests,sum2013,5
"Private for-profit, less-than 2-year",Non-Campus,Arrest - Drug Arrests,sum2013,10
"Public, 4-year or above",Non-Campus,Arrest - Drug Arrests,sum2014,627
"Private nonprofit, 4-year or above",Non-Campus,Arrest - Drug Arrests,sum2014,217
"Private for-profit, 4-year or above",Non-Campus,Arrest - Drug Arrests,sum2014,38
"Public, 2-year",Non-Campus,Arrest - Drug Arrests,sum2014,304
"Private nonprofit, 2-year",Non-Campus,Arrest - Drug Arrests,sum2014,11
"Private for-profit, 2-year",Non-Campus,Arrest - Drug Arrests,sum2014,1
"Public, less-than 2-year",Non-Campus,Arrest - Drug Arrests,sum2014,0
"Private nonprofit, less-than 2-year",Non-Campus,Arrest - Drug Arrests,sum2014,0
"Private for-profit, less-than 2-year",Non-Campus,Arrest - Drug Arrests,sum2014,3
"Public, 4-year or above",Non-Campus,Arrest - Drug Arrests,sum2015,548
"Private nonprofit, 4-year or above",Non-Campus,Arrest - Drug Arrests,sum2015,262
"Private for-profit, 4-year or above",Non-Campus,Arrest - Drug Arrests,sum2015,51
"Public, 2-year",Non-Campus,Arrest - Drug Arrests,sum2015,309
"Private nonprofit, 2-year",Non-Campus,Arrest - Drug Arrests,sum2015,0
"Private for-profit, 2-year",Non-Campus,Arrest - Drug Arrests,sum2015,3
"Public, less-than 2-year",Non-Campus,Arrest - Drug Arrests,sum2015,1
"Private nonprofit, less-than 2-year",Non-Campus,Arrest - Drug Arrests,sum2015,4
"Private for-profit, less-than 2-year",Non-Campus,Arrest - Drug Arrests,sum2015,1
"Public, 4-year or above",Public Property,Arrest - Drug Arrests,sum2013,4212
"Private nonprofit, 4-year or above",Public Property,Arrest - Drug Arrests,sum2013,1278
"Private for-profit, 4-year or above",Public Property,Arrest - Drug Arrests,sum2013,210
"Public, 2-year",Public Property,Arrest - Drug Arrests,sum2013,644
"Private nonprofit, 2-year",Public Property,Arrest - Drug Arrests,sum2013,39
"Private for-profit, 2-year",Public Property,Arrest - Drug Arrests,sum2013,152
"Public, less-than 2-year",Public Property,Arrest - Drug Arrests,sum2013,38
"Private nonprofit, less-than 2-year",Public Property,Arrest - Drug Arrests,sum2013,19
"Private for-profit, less-than 2-year",Public Property,Arrest - Drug Arrests,sum2013,159
"Public, 4-year or above",Public Property,Arrest - Drug Arrests,sum2014,4026
"Private nonprofit, 4-year or above",Public Property,Arrest - Drug Arrests,sum2014,1160
"Private for-profit, 4-year or above",Public Property,Arrest - Drug Arrests,sum2014,105
"Public, 2-year",Public Property,Arrest - Drug Arrests,sum2014,726
"Private nonprofit, 2-year",Public Property,Arrest - Drug Arrests,sum2014,31
"Private for-profit, 2-year",Public Property,Arrest - Drug Arrests,sum2014,137
"Public, less-than 2-year",Public Property,Arrest - Drug Arrests,sum2014,35
"Private nonprofit, less-than 2-year",Public Property,Arrest - Drug Arrests,sum2014,3
"Private for-profit, less-than 2-year",Public Property,Arrest - Drug Arrests,sum2014,193
"Public, 4-year or above",Public Property,Arrest - Drug Arrests,sum2015,4012
"Private nonprofit, 4-year or above",Public Property,Arrest - Drug Arrests,sum2015,1202
"Private for-profit, 4-year or above",Public Property,Arrest - Drug Arrests,sum2015,214
"Public, 2-year",Public Property,Arrest - Drug Arrests,sum2015,722
"Private nonprofit, 2-year",Public Property,Arrest - Drug Arrests,sum2015,46
"Private for-profit, 2-year",Public Property,Arrest - Drug Arrests,sum2015,86
"Public, less-than 2-year",Public Property,Arrest - Drug Arrests,sum2015,25
"Private nonprofit, less-than 2-year",Public Property,Arrest - Drug Arrests,sum2015,15
"Private for-profit, less-than 2-year",Public Property,Arrest - Drug Arrests,sum2015,197
"Public, 4-year or above",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2013,10738
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2013,2018
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2013,10
"Public, 2-year",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2013,423
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2013,12
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2013,3
"Public, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2013,10
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2013,1
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2013,6
"Public, 4-year or above",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2014,9530
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2014,1798
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2014,15
"Public, 2-year",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2014,556
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2014,26
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2014,6
"Public, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2014,21
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2014,1
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2014,2
"Public, 4-year or above",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2015,7952
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2015,1455
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2015,9
"Public, 2-year",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2015,404
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2015,6
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2015,3
"Public, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2015,12
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2015,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Liquor Law Violations,sum2015,6
"Public, 4-year or above",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2013,11144
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2013,1710
"Private for-profit, 4-year or above",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2013,4
"Public, 2-year",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2013,864
"Private nonprofit, 2-year",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2013,13
"Private for-profit, 2-year",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2013,10
"Public, less-than 2-year",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2013,4
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2013,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2013,0
"Public, 4-year or above",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2014,11017
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2014,1453
"Private for-profit, 4-year or above",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2014,25
"Public, 2-year",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2014,770
"Private nonprofit, 2-year",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2014,10
"Private for-profit, 2-year",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2014,1
"Public, less-than 2-year",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2014,5
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2014,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2014,0
"Public, 4-year or above",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2015,8827
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2015,1268
"Private for-profit, 4-year or above",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2015,0
"Public, 2-year",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2015,632
"Private nonprofit, 2-year",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2015,5
"Private for-profit, 2-year",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2015,0
"Public, less-than 2-year",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2015,12
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2015,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Arrest - Liquor Law Violations,sum2015,2
"Public, 4-year or above",Non-Campus,Arrest - Liquor Law Violations,sum2013,1083
"Private nonprofit, 4-year or above",Non-Campus,Arrest - Liquor Law Violations,sum2013,278
"Private for-profit, 4-year or above",Non-Campus,Arrest - Liquor Law Violations,sum2013,13
"Public, 2-year",Non-Campus,Arrest - Liquor Law Violations,sum2013,146
"Private nonprofit, 2-year",Non-Campus,Arrest - Liquor Law Violations,sum2013,3
"Private for-profit, 2-year",Non-Campus,Arrest - Liquor Law Violations,sum2013,7
"Public, less-than 2-year",Non-Campus,Arrest - Liquor Law Violations,sum2013,0
"Private nonprofit, less-than 2-year",Non-Campus,Arrest - Liquor Law Violations,sum2013,0
"Private for-profit, less-than 2-year",Non-Campus,Arrest - Liquor Law Violations,sum2013,4
"Public, 4-year or above",Non-Campus,Arrest - Liquor Law Violations,sum2014,1244
"Private nonprofit, 4-year or above",Non-Campus,Arrest - Liquor Law Violations,sum2014,195
"Private for-profit, 4-year or above",Non-Campus,Arrest - Liquor Law Violations,sum2014,18
"Public, 2-year",Non-Campus,Arrest - Liquor Law Violations,sum2014,117
"Private nonprofit, 2-year",Non-Campus,Arrest - Liquor Law Violations,sum2014,4
"Private for-profit, 2-year",Non-Campus,Arrest - Liquor Law Violations,sum2014,11
"Public, less-than 2-year",Non-Campus,Arrest - Liquor Law Violations,sum2014,0
"Private nonprofit, less-than 2-year",Non-Campus,Arrest - Liquor Law Violations,sum2014,0
"Private for-profit, less-than 2-year",Non-Campus,Arrest - Liquor Law Violations,sum2014,0
"Public, 4-year or above",Non-Campus,Arrest - Liquor Law Violations,sum2015,814
"Private nonprofit, 4-year or above",Non-Campus,Arrest - Liquor Law Violations,sum2015,133
"Private for-profit, 4-year or above",Non-Campus,Arrest - Liquor Law Violations,sum2015,25
"Public, 2-year",Non-Campus,Arrest - Liquor Law Violations,sum2015,113
"Private nonprofit, 2-year",Non-Campus,Arrest - Liquor Law Violations,sum2015,0
"Private for-profit, 2-year",Non-Campus,Arrest - Liquor Law Violations,sum2015,3
"Public, less-than 2-year",Non-Campus,Arrest - Liquor Law Violations,sum2015,0
"Private nonprofit, less-than 2-year",Non-Campus,Arrest - Liquor Law Violations,sum2015,0
"Private for-profit, less-than 2-year",Non-Campus,Arrest - Liquor Law Violations,sum2015,0
"Public, 4-year or above",Public Property,Arrest - Liquor Law Violations,sum2013,5584
"Private nonprofit, 4-year or above",Public Property,Arrest - Liquor Law Violations,sum2013,1638
"Private for-profit, 4-year or above",Public Property,Arrest - Liquor Law Violations,sum2013,104
"Public, 2-year",Public Property,Arrest - Liquor Law Violations,sum2013,410
"Private nonprofit, 2-year",Public Property,Arrest - Liquor Law Violations,sum2013,53
"Private for-profit, 2-year",Public Property,Arrest - Liquor Law Violations,sum2013,70
